30;63
;0;1;00;01;10;11;000;001;010;011;100;101;110;111;0000;0001;0010;0011;0100;0101;0110;0111;1000;1001;1010;1011;1100;1101;1110;1111;00000;00001;00010;00011;00100;00101;00110;00111;01000;01001;01010;01011;01100;01101;01110;01111;10000;10001;10010;10011;10100;10101;10110;10111;11000;11001;11010;11011;11100;11101;11110;11111
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;-1,0;2,2;2,2;2,1;2,1;9,1;9,1;-1,0;-1,0;-1,0;-1,0;2,2;2,2;2,2;2,2;2,1;2,1;2,1;2,1;9,1;9,1;9,1;9,1;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,2;2,1;2,1;2,1;2,1;2,1;2,1;2,1;2,1;9,1;9,1;9,1;9,1;9,1;9,1;9,1;9,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;2,3;-1,0;2,3;2,1;10,1;2,1;10,1;-1,0;-1,0;2,3;2,3;-1,0;-1,0;2,3;2,3;2,1;2,1;10,1;10,1;2,1;2,1;10,1;10,1;-1,0;-1,0;-1,0;-1,0;2,3;2,3;2,3;2,3;-1,0;-1,0;-1,0;-1,0;2,3;2,3;2,3;2,3;2,1;2,1;2,1;2,1;10,1;10,1;10,1;10,1;2,1;2,1;2,1;2,1;10,1;10,1;10,1;10,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;-1,0;-1,0;-1,0;2,1;2,1;2,1;2,1;-1,0;2,4;-1,0;2,4;-1,0;2,4;-1,0;2,4;2,1;11,1;2,1;11,1;2,1;11,1;2,1;11,1;-1,0;-1,0;2,4;2,4;-1,0;-1,0;2,4;2,4;-1,0;-1,0;2,4;2,4;-1,0;-1,0;2,4;2,4;2,1;2,1;11,1;11,1;2,1;2,1;11,1;11,1;2,1;2,1;11,1;11,1;2,1;2,1;11,1;11,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;-1,0;-1,0;-1,0;2,1;2,1;2,1;2,1;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;-1,0;2,1;2,1;2,1;2,1;2,1;2,1;2,1;2,1;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1
19,0;19,0;1,1;19,0;7,0;1,1;3,1;25,0;18,0;7,0;16,0;5,1;4,1;3,1;13,1;25,0;29,0;18,0;18,0;7,0;17,0;16,0;16,0;5,1;15,1;4,1;4,1;3,1;14,1;13,1;13,1;25,0;25,0;29,0;29,0;18,0;18,0;18,0;18,0;7,0;7,0;17,0;17,0;16,0;16,0;16,0;16,0;5,1;5,1;15,1;15,1;4,1;4,1;4,1;4,1;3,1;3,1;14,1;14,1;13,1;13,1;13,1;13,1
9,0;9,0;1,1;19,0;7,0;1,1;3,1;19,0;25,0;7,0;7,0;1,1;5,1;3,1;3,1;19,0;26,0;25,0;29,0;7,0;17,0;7,0;17,0;1,1;6,1;5,1;15,1;3,1;14,1;3,1;14,1;19,0;19,0;26,0;26,0;25,0;25,0;29,0;29,0;7,0;7,0;17,0;17,0;7,0;7,0;17,0;17,0;1,1;1,1;6,1;6,1;5,1;5,1;15,1;15,1;3,1;3,1;14,1;14,1;3,1;3,1;14,1;14,1
2,0;9,0;1,1;9,0;19,0;1,1;1,1;9,0;20,0;19,0;25,0;1,1;5,1;1,1;5,1;9,0;21,0;20,0;27,0;19,0;26,0;25,0;29,0;1,1;6,1;5,1;15,1;1,1;6,1;5,1;15,1;9,0;9,0;21,0;21,0;20,0;20,0;27,0;27,0;19,0;19,0;26,0;26,0;25,0;25,0;29,0;29,0;1,1;1,1;6,1;6,1;5,1;5,1;15,1;15,1;1,1;1,1;6,1;6,1;5,1;5,1;15,1;15,1
9,2;9,2;19,1;9,2;9,2;19,1;19,1;9,2;1,3;9,2;1,3;19,1;7,1;19,1;7,1;19,2;7,2;1,3;3,3;19,2;7,2;1,3;3,3;25,1;18,1;7,1;16,1;25,1;18,1;7,1;16,1;19,2;25,2;7,2;7,2;1,3;5,3;3,3;3,3;19,2;25,2;7,2;7,2;1,3;5,3;3,3;3,3;25,1;29,1;18,1;18,1;7,1;17,1;16,1;16,1;25,1;29,1;18,1;18,1;7,1;17,1;16,1;16,1
2,2;2,2;9,1;2,2;2,2;9,1;9,1;9,2;1,3;9,2;1,3;19,1;7,1;19,1;7,1;9,2;19,2;1,3;1,3;9,2;19,2;1,3;1,3;19,1;25,1;7,1;7,1;19,1;25,1;7,1;7,1;9,2;20,2;19,2;25,2;1,3;5,3;1,3;5,3;9,2;20,2;19,2;25,2;1,3;5,3;1,3;5,3;19,1;26,1;25,1;29,1;7,1;17,1;7,1;17,1;19,1;26,1;25,1;29,1;7,1;17,1;7,1;17,1
2,3;2,3;10,1;2,3;9,2;10,1;19,1;2,3;2,3;9,2;9,2;10,1;10,1;19,1;19,1;9,3;1,4;9,3;1,4;19,2;7,2;19,2;7,2;22,1;8,1;22,1;8,1;25,1;18,1;25,1;18,1;9,3;19,3;1,4;1,4;9,3;19,3;1,4;1,4;19,2;25,2;7,2;7,2;19,2;25,2;7,2;7,2;22,1;28,1;8,1;8,1;22,1;28,1;8,1;8,1;25,1;29,1;18,1;18,1;25,1;29,1;18,1;18,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;2,3;2,2;9,2;2,1;10,1;9,1;19,1;-1,0;-1,0;2,3;2,3;2,2;2,2;9,2;9,2;2,1;2,1;10,1;10,1;9,1;9,1;19,1;19,1;-1,0;-1,0;-1,0;-1,0;2,3;2,3;2,3;2,3;2,2;2,2;2,2;2,2;9,2;9,2;9,2;9,2;2,1;2,1;2,1;2,1;10,1;10,1;10,1;10,1;9,1;9,1;9,1;9,1;19,1;19,1;19,1;19,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;-1,0;2,2;2,2;2,1;2,1;9,1;9,1;-1,0;2,4;-1,0;2,4;2,2;10,2;2,2;10,2;2,1;11,1;2,1;11,1;9,1;20,1;9,1;20,1;-1,0;-1,0;2,4;2,4;-1,0;-1,0;2,4;2,4;2,2;2,2;10,2;10,2;2,2;2,2;10,2;10,2;2,1;2,1;11,1;11,1;2,1;2,1;11,1;11,1;9,1;9,1;20,1;20,1;9,1;9,1;20,1;20,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;-1,0;2,2;2,2;2,1;2,1;9,1;9,1;-1,0;-1,0;-1,0;-1,0;2,2;2,2;2,2;2,2;2,1;2,1;2,1;2,1;9,1;9,1;9,1;9,1;-1,0;2,5;-1,0;2,5;-1,0;2,5;-1,0;2,5;2,2;11,2;2,2;11,2;2,2;11,2;2,2;11,2;2,1;12,1;2,1;12,1;2,1;12,1;2,1;12,1;9,1;21,1;9,1;21,1;9,1;21,1;9,1;21,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;2,3;-1,0;2,3;2,1;10,1;2,1;10,1;-1,0;2,4;2,3;9,3;-1,0;2,4;2,3;9,3;2,1;11,1;10,1;22,1;2,1;11,1;10,1;22,1;-1,0;-1,0;2,4;2,4;2,3;2,3;9,3;9,3;-1,0;-1,0;2,4;2,4;2,3;2,3;9,3;9,3;2,1;2,1;11,1;11,1;10,1;10,1;22,1;22,1;2,1;2,1;11,1;11,1;10,1;10,1;22,1;22,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;2,3;-1,0;2,3;2,1;10,1;2,1;10,1;-1,0;-1,0;2,3;2,3;-1,0;-1,0;2,3;2,3;2,1;2,1;10,1;10,1;2,1;2,1;10,1;10,1;-1,0;2,5;-1,0;2,5;2,3;10,3;2,3;10,3;-1,0;2,5;-1,0;2,5;2,3;10,3;2,3;10,3;2,1;12,1;2,1;12,1;10,1;23,1;10,1;23,1;2,1;12,1;2,1;12,1;10,1;23,1;10,1;23,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;-1,0;-1,0;-1,0;2,1;2,1;2,1;2,1;-1,0;2,4;-1,0;2,4;-1,0;2,4;-1,0;2,4;2,1;11,1;2,1;11,1;2,1;11,1;2,1;11,1;-1,0;2,5;2,4;9,4;-1,0;2,5;2,4;9,4;-1,0;2,5;2,4;9,4;-1,0;2,5;2,4;9,4;2,1;12,1;11,1;24,1;2,1;12,1;11,1;24,1;2,1;12,1;11,1;24,1;2,1;12,1;11,1;24,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;2,3;2,2;9,2;2,1;10,1;9,1;19,1;-1,0;2,4;2,3;9,3;2,2;10,2;9,2;19,2;2,1;11,1;10,1;22,1;9,1;20,1;19,1;25,1;-1,0;-1,0;2,4;2,4;2,3;2,3;9,3;9,3;2,2;2,2;10,2;10,2;9,2;9,2;19,2;19,2;2,1;2,1;11,1;11,1;10,1;10,1;22,1;22,1;9,1;9,1;20,1;20,1;19,1;19,1;25,1;25,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;2,3;2,2;9,2;2,1;10,1;9,1;19,1;-1,0;-1,0;2,3;2,3;2,2;2,2;9,2;9,2;2,1;2,1;10,1;10,1;9,1;9,1;19,1;19,1;-1,0;2,5;-1,0;2,5;2,3;10,3;2,3;10,3;2,2;11,2;2,2;11,2;9,2;20,2;9,2;20,2;2,1;12,1;2,1;12,1;10,1;23,1;10,1;23,1;9,1;21,1;9,1;21,1;19,1;26,1;19,1;26,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;-1,0;2,2;2,2;2,1;2,1;9,1;9,1;-1,0;2,4;-1,0;2,4;2,2;10,2;2,2;10,2;2,1;11,1;2,1;11,1;9,1;20,1;9,1;20,1;-1,0;2,5;2,4;9,4;-1,0;2,5;2,4;9,4;2,2;11,2;10,2;22,2;2,2;11,2;10,2;22,2;2,1;12,1;11,1;24,1;2,1;12,1;11,1;24,1;9,1;21,1;20,1;27,1;9,1;21,1;20,1;27,1
-1,0;-1,0;2,1;-1,0;-1,0;2,1;2,1;-1,0;2,3;-1,0;2,3;2,1;10,1;2,1;10,1;-1,0;2,4;2,3;9,3;-1,0;2,4;2,3;9,3;2,1;11,1;10,1;22,1;2,1;11,1;10,1;22,1;-1,0;2,5;2,4;9,4;2,3;10,3;9,3;19,3;-1,0;2,5;2,4;9,4;2,3;10,3;9,3;19,3;2,1;12,1;11,1;24,1;10,1;23,1;22,1;28,1;2,1;12,1;11,1;24,1;10,1;23,1;22,1;28,1
-1,0;-1,0;2,1;-1,0;2,2;2,1;9,1;-1,0;2,3;2,2;9,2;2,1;10,1;9,1;19,1;-1,0;2,4;2,3;9,3;2,2;10,2;9,2;19,2;2,1;11,1;10,1;22,1;9,1;20,1;19,1;25,1;-1,0;2,5;2,4;9,4;2,3;10,3;9,3;19,3;2,2;11,2;10,2;22,2;9,2;20,2;19,2;25,2;2,1;12,1;11,1;24,1;10,1;23,1;22,1;28,1;9,1;21,1;20,1;27,1;19,1;26,1;25,1;29,1
